Mt-enriched progenitors_name,Mt-enriched progenitors_logfoldchange,Mt-enriched progenitors_pval,Embryonic gut mesenchymal cells_name,Embryonic gut mesenchymal cells_logfoldchange,Embryonic gut mesenchymal cells_pval,Gut wall SM and ICCs_name,Gut wall SM and ICCs_logfoldchange,Gut wall SM and ICCs_pval,Villus SM cells_name,Villus SM cells_logfoldchange,Villus SM cells_pval,Mature fibroblast-like cells_name,Mature fibroblast-like cells_logfoldchange,Mature fibroblast-like cells_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval,Colonic mesenchymal cells-1_name,Colonic mesenchymal cells-1_logfoldchange,Colonic mesenchymal cells-1_pval,Colonic mesenchymal cells-2_name,Colonic mesenchymal cells-2_logfoldchange,Colonic mesenchymal cells-2_pval,Tmem176a+ cells_name,Tmem176a+ cells_logfoldchange,Tmem176a+ cells_pval,Undifferentiated endothelial cells_name,Undifferentiated endothelial cells_logfoldchange,Undifferentiated endothelial cells_pval,Transitioning endothelial cells_name,Transitioning endothelial cells_logfoldchange,Transitioning endothelial cells_pval,Venous endothelial cells_name,Venous endothelial cells_logfoldchange,Venous endothelial cells_pval,Arterial endothelial cells_name,Arterial endothelial cells_logfoldchange,Arterial endothelial cells_pval,Lymphatic endothelial cells_name,Lymphatic endothelial cells_logfoldchange,Lymphatic endothelial cells_pval,Capillary endothelial cells_name,Capillary endothelial cells_logfoldchange,Capillary endothelial cells_pval,Lgr5+ stem/ progenitor cells_name,Lgr5+ stem/ progenitor cells_logfoldchange,Lgr5+ stem/ progenitor cells_pval,Enterocytes-1_name,Enterocytes-1_logfoldchange,Enterocytes-1_pval,Enterocytes-2_name,Enterocytes-2_logfoldchange,Enterocytes-2_pval,Enterocytes-3_name,Enterocytes-3_logfoldchange,Enterocytes-3_pval,Goblet cells_name,Goblet cells_logfoldchange,Goblet cells_pval,Enteroendocrine cells_name,Enteroendocrine cells_logfoldchange,Enteroendocrine cells_pval,Enteric neurons_name,Enteric neurons_logfoldchange,Enteric neurons_pval,Enteric glial cells_name,Enteric glial cells_logfoldchange,Enteric glial cells_pval,Enteric neuronal progenitor cells_name,Enteric neuronal progenitor cells_logfoldchange,Enteric neuronal progenitor cells_pval,Mesothelial progenitor cells_name,Mesothelial progenitor cells_logfoldchange,Mesothelial progenitor cells_pval,Differentiated mesothelial cells_name,Differentiated mesothelial cells_logfoldchange,Differentiated mesothelial cells_pval,Macrophages-1_name,Macrophages-1_logfoldchange,Macrophages-1_pval,Macrophages-2_name,Macrophages-2_logfoldchange,Macrophages-2_pval,Erythrocytes_name,Erythrocytes_logfoldchange,Erythrocytes_pval
Stmn1,0.48860225,1.4406688970313547e-39,Nrk,3.1605518,0.0,Pde5a,3.1115856,1.1741153499971774e-301,Lgalsl,4.652959,2.0506129631181095e-78,Sparcl1,3.0240214,0.0,Axl,3.8952353,3.5716561148670445e-79,Hmgn1,1.2910414,4.035473197742808e-168,Gucy1a1,3.2779431,4.1510923083812183e-109,Lhfp,4.068866,2.4675848224629933e-20,mt-Cytb,0.39525375,1.0565183517729667e-244,Cd34,2.5248199,0.0,Crip2,3.0246398,1.9979957657869355e-128,Iqgap1,2.9364154,1.6433137246562805e-64,Timp3,2.8151748,1.5983916152885187e-151,Thbs1,5.146039,0.0,Rpl19,0.7121402,1.0689470386130292e-305,Gna11,2.8744059,0.0,Mogat2,5.526076,0.0,Anxa4,4.1338677,7.838574180622589e-186,Foxa3,6.715504,1.5894348029411322e-100,Prnp,3.0386984,3.680597900535125e-57,Hsp90aa1,1.8867742,0.0,Adam23,7.1119976,3.5061240748552575e-111,Sox4,2.0558121,5.200812751047655e-293,Lrrn4,5.295676,4.808790853369323e-198,Lgals3,5.0313272,2.1470729314263736e-197,Ctsh,4.060067,0.0,Gatm,5.019974,8.143920376899703e-195,Ppp1r15a,3.20106,4.922783589143097e-16
H3f3a,-0.071771696,5.973905047930028e-39,Col5a1,2.4922316,0.0,Actn1,2.0262244,1.0058444056226975e-295,Inpp4b,6.1014977,4.911065104204208e-78,Laptm4a,2.0287054,0.0,Id3,2.6355486,4.482235591913656e-79,Hoxd11,6.6915894,8.880428207090986e-168,Meis2,2.189643,2.2988073947598396e-107,Pros1,4.993562,5.916387385008412e-20,Rps6,0.33575132,4.577524971933552e-236,Plk2,2.6757329,0.0,Utrn,3.2488005,1.5222417150910085e-127,Ehd2,3.5234473,1.861112786285081e-64,Myzap,3.8740509,5.147785201639612e-148,Myct1,4.4942694,0.0,Hsp90aa1,1.444746,3.842731707333332e-305,Otc,4.4270372,0.0,Renbp,4.857888,0.0,Guca2b,5.4173393,1.657220973445308e-178,Krt7,3.945099,2.412139969355905e-99,Hmgn3,3.2476897,5.6975018843286604e-55,Mxra7,3.0628061,0.0,Nid1,3.4950027,4.878289073571262e-111,Plp1,5.197176,2.1035432558846228e-290,Col1a2,2.366577,1.4346246806654076e-196,Rspo1,5.9444685,2.1874109813434954e-197,Cd68,6.16043,0.0,Spi1,5.4348254,2.162271471649487e-194,Pabpc1,0.7166131,1.5859201961632601e-15
mt-Nd3,0.117468014,1.0831455937963998e-38,6330403K07Rik,2.542841,0.0,Meis1,2.0733795,6.04028733045364e-291,Itgb1,2.4812727,9.930653515155769e-78,Igfbp4,2.3000944,0.0,Foxf1,3.5625083,4.71539792951901e-79,Ldhb,2.06493,4.373002100816476e-167,Acta2,2.4031699,1.3777759208379407e-102,Tnc,5.3123045,6.932349656388625e-20,Plvap,1.5622653,2.9896250451936876e-229,Elk3,2.4025235,0.0,AU021092,4.688472,1.9664874374437697e-126,Efnb2,3.722077,2.4782623247331613e-64,Cdh5,2.707567,7.73174235525246e-148,Cd300lg,8.077618,0.0,Rps19,0.75811595,8.303863704823839e-305,Gipc2,3.7838352,0.0,Ctsa,3.9748895,0.0,Cox5a,1.7266595,7.811792757631754e-176,Gfpt1,3.8581061,3.008907387629264e-99,Serpinb1a,3.601449,2.279004853252177e-54,H3f3a,1.0327502,0.0,Ttyh1,6.2373543,5.3928527958921825e-111,Tbx3,3.3106582,1.4011019171169602e-289,Mdk,2.2307448,2.7882657777365306e-195,Gpm6a,6.5987644,4.321797567065361e-195,Lcp1,3.4182224,0.0,Lst1,5.27855,5.9001795084178816e-192,Hmbs,2.066567,7.97697218832367e-15
Rpl3,0.05243501,3.713002353450472e-38,Fbn2,2.4368393,0.0,Cnn2,1.8550379,7.236504276868665e-290,Mfge8,3.4495654,1.0225569305441684e-76,Matn2,5.0470047,0.0,Ednra,5.130908,1.9875882579792305e-78,Rnd3,2.6180859,1.220677197129421e-165,Cdh11,2.3703198,1.6689121107621847e-102,Ghr,3.0651472,9.490074248984683e-20,Prdx1,0.39639595,5.743645707255104e-229,Bst2,2.3693094,0.0,Plxnd1,3.1921856,8.399175926385998e-126,Icam2,3.4831698,2.8433331313038385e-63,Myct1,2.9372723,2.2660282433132912e-147,Ramp2,3.3666542,0.0,Rpl26,0.6898636,1.5357456607564383e-302,Akr1c13,3.8173056,0.0,Sult1d1,5.3288336,0.0,Prap1,4.2904954,3.2404709543930366e-173,S100a6,3.906018,3.2584155209355117e-99,Rbp4,5.8718786,2.768332213388631e-54,Tubb5,1.8562682,0.0,Gfra3,8.66082,1.1783541515514559e-110,H2afz,1.5850068,9.205592294603677e-280,1810058I24Rik,1.5852524,1.0629807467478662e-194,Nbl1,4.4064536,1.6924085435111243e-194,Pld4,6.6382613,0.0,Ptprc,6.1264563,7.986428866226827e-191,Ube2o,3.1037362,3.4774376719044185e-14
Rps9,0.08725476,4.991015674941809e-38,Col6a2,2.5414813,0.0,Ifitm1,2.1855395,8.569565820705952e-290,Cavin1,3.311995,1.6113312438884475e-75,Nrk,3.9105058,0.0,Tmem176a,2.5699399,1.6483912400966805e-73,Tceal9,1.3037452,2.329228274440664e-163,Fbln1,2.0838077,6.328569112013535e-101,Gpx3,3.1340992,4.999289311863688e-19,Nes,2.3313777,5.546101212721902e-222,Tie1,2.706325,0.0,H2-D1,3.0926073,3.2464339918346985e-125,Sox18,3.4344432,3.225986333186546e-63,Pard6g,4.0107536,2.8805858403084807e-145,Robo4,4.933957,0.0,Rpl13,0.6428809,1.9132795353724986e-301,Hadh,2.8282561,0.0,Tm4sf5,4.8657846,0.0,Eps8l3,4.30864,8.567479793156601e-169,Lsr,4.05281,1.9065737025517564e-98,Rph3al,5.4144654,1.6353252116816393e-53,Stmn2,5.107012,0.0,Itga6,3.694224,2.752442099600773e-110,Stmn1,1.876343,1.8791346351615903e-278,Cavin3,2.046383,1.149683432145109e-193,P3h4,3.7422614,3.6484524226318394e-190,Cotl1,2.3590887,0.0,Npc2,2.695033,1.405548426622632e-188,Cd59a,2.8937314,5.858180956318336e-14
Rps20,0.06722294,6.372510810762952e-37,Maged2,1.928196,0.0,Tgfbi,2.3868785,1.2183340227696442e-285,Rbpms,2.8694232,1.0567017340556964e-74,Malat1,2.4746706,0.0,Slc12a2,3.7717693,1.54944572858113e-72,H3f3b,0.89768666,1.890710997551765e-161,Rcn1,2.0300753,1.0850071550087676e-98,Col5a1,2.7933683,8.182739983869171e-19,Icam2,2.2078125,2.2589608366045066e-216,Cavin3,2.1709368,0.0,Ece1,3.2333605,3.046179018615202e-124,Ehd4,3.3976142,3.3625425406336477e-62,Tmsb10,1.3057114,4.5775422566410246e-144,Plpp1,3.9864419,0.0,Rpl8,0.8192285,2.100739156758558e-299,Amn,4.1145315,0.0,Tm4sf20,4.9949813,0.0,Calml4,3.723878,1.6669787137292646e-167,Ehf,6.589454,7.371470110902384e-97,Cldn4,4.6927905,2.489474546348808e-53,2010111I01Rik,3.1561828,0.0,Lamb1,3.4140563,5.0066969828401734e-108,Jpt1,1.7584643,1.3311763409945042e-264,Wfdc2,3.7081885,1.1949317442383187e-193,Dlk1,3.6755493,3.688101752146604e-189,Fyb,5.770856,0.0,Fth1,2.0264626,2.3109340409205687e-188,Fam220a,2.5990536,1.9057562620671407e-13
Rpl18,0.08362859,2.4558178850804165e-36,Nenf,1.7338778,0.0,Sfr1,1.3433397,1.721232467316277e-284,Carmn,4.9774036,2.0995648344024977e-74,Eln,3.8588972,0.0,Spon2,5.6547647,1.3056232193051815e-69,Myl9,2.1291196,3.604860086260446e-160,Nkx2-3,2.202569,9.225731856029637e-98,Bmp5,6.6443024,1.0998183064885952e-18,Rbp1,1.1635487,1.4823943646992861e-213,Ralb,1.9976398,0.0,Jam2,4.7859387,3.0585384834338447e-124,Sema3g,6.427812,3.458467249111219e-62,Slc45a3,8.409014,1.87247235535412e-143,Rflnb,4.0470586,0.0,Rack1,0.84744966,3.934363731986578e-298,Calml4,3.3484585,0.0,Cystm1,4.634478,0.0,Plin3,3.4743812,2.0364611095144095e-167,Ccl9,6.8904014,7.373811366766197e-97,Lsr,3.529568,4.069517844447044e-53,Ttc3,2.1937275,0.0,Lpar1,4.3204384,5.0769583689876585e-108,E130114P18Rik,5.9622893,1.8106649469409496e-260,Cnpy2,1.615269,4.658576676862929e-192,Aldh1a2,5.1150913,8.061821758296171e-186,Cd53,6.5143495,0.0,Ms4a6d,6.022433,6.151744230750724e-188,Nt5c3,2.308122,4.1095536891001537e-13
Rps7,-0.012194806,3.2245010756831595e-36,Zeb2,2.3481064,0.0,Fbn2,2.1014433,6.896391487022574e-283,Col4a1,3.5404775,2.2202679707455606e-74,Mgp,4.0952606,0.0,Kcnj8,4.162304,1.635973237757473e-68,Foxf1,2.6459544,4.3080347905623284e-160,Mfap2,1.962706,1.3498165731108447e-97,Plac8,3.0855193,2.212948008852519e-18,Rps2,0.39054313,1.5794647054650327e-206,Eng,2.2237732,0.0,Lmo2,3.2846014,9.427833605846628e-123,Sparcl1,3.0225127,5.811828355597731e-62,Sptssa,1.9145975,1.109766099744594e-136,Gimap6,4.0190077,0.0,Npm1,1.0982567,1.5770706821258335e-295,Dbi,2.3655093,0.0,Pdzk1ip1,5.3359413,0.0,Txndc17,2.2049901,4.744765743931427e-164,Ms4a8a,5.6180573,8.882196468054384e-97,Gch1,4.455547,9.412881368923795e-51,Nsg1,3.8168347,0.0,Lama2,6.530158,1.0711758561204359e-107,Pmepa1,2.379778,2.6432410911929574e-257,Tmem176b,1.652337,6.832986181523398e-188,Col5a1,3.2124689,3.2911495110240716e-185,Pf4,7.0783167,0.0,Cyba,3.0309594,4.1870293218768887e-187,Tspo2,8.459726,2.095373350306466e-12
Rpl22,-0.14896789,2.2141197224225804e-33,Tpm1,1.8290464,0.0,Ppp1r14a,3.040072,9.270770849272643e-279,Vcl,3.7320158,2.5031185692976125e-74,Tnxb,5.9110074,0.0,Des,3.5170844,1.666991538004074e-68,Col1a1,1.9178876,6.189509131234471e-158,Hmgn1,1.3940287,1.4583860947623476e-94,Cebpb,2.8032296,3.897254670771217e-18,Eif4a1,0.34567103,1.265769920725917e-194,Tspan6,2.1969264,0.0,S100a16,2.9140692,1.9429462839212438e-122,Ecscr,3.1447413,4.0023405525385983e-60,Nudt4,2.7191508,1.7458911208508646e-135,Cd81,2.1054316,0.0,Rps3a1,0.6900639,3.1516781093692037e-292,Gsto1,2.929926,0.0,Clec2h,5.9149485,0.0,Cstb,3.143755,3.4649018996053854e-163,Spdef,9.959942,1.0434116894333477e-96,Smim22,3.5693083,1.3323015419680233e-50,Miat,6.0150037,0.0,Col1a2,4.290551,1.9956255031992131e-106,Zfp536,5.0314007,1.143011802496157e-256,Col1a1,2.476033,4.0871036913708434e-187,Ahnak,2.888742,4.392493357143592e-183,Psmb8,4.452586,0.0,Lpcat2,5.9942017,8.477715275317027e-186,Rbm38,3.0701199,3.981214147426052e-11
Rpl32,0.10715001,6.856839538323878e-33,Sfrp1,3.0346026,0.0,Nrp2,2.319148,7.728560128647008e-276,Aspn,5.006795,6.114285252979252e-74,Clec3b,9.259449,0.0,Myo1b,3.0851467,8.744977275316621e-68,Pafah1b3,1.5143766,1.1172605434693242e-156,Lpar1,2.946276,1.746525939875404e-94,Pdgfrb,3.802737,3.910898932690744e-18,Arpc3,0.7660013,5.93570305105491e-194,Hspg2,2.122597,0.0,Eng,3.2009892,3.012865275008883e-122,Igfbp4,2.2822487,3.920164342067974e-59,Cav2,3.1707077,2.3494373388246648e-134,Sptbn1,2.4307916,0.0,Rpl18,0.7542338,3.336713574342375e-288,Mapk13,3.4779859,0.0,Mt1,5.5740647,0.0,Glrx,3.8020763,2.923065508936981e-161,Tm9sf2,3.2286122,3.3204244801697816e-96,Lgals3bp,3.86636,2.212191783405388e-49,Enah,2.9113297,0.0,Plekhb1,6.323581,2.347308598087059e-106,Sox2,6.206507,1.445725407997827e-251,Ppp2r2b,4.4595184,1.4764765513866959e-182,Ncoa4,3.1631215,1.3992314385566177e-182,Cyth4,6.255727,0.0,Cybb,6.139472,1.9056420107266517e-182,Epb42,9.138979,1.0805200475048415e-10
Rpl41,-0.12416085,9.867525000413925e-32,Cd63,1.7367976,0.0,Anxa6,1.6654785,9.079547206428013e-272,Rasgrp2,4.0055785,2.2316486595970218e-73,Rcn3,2.7073867,0.0,Igfbp3,3.4905367,1.7903195547051114e-67,Trps1,2.6906412,8.961467024733808e-151,Wnt5a,3.0999527,4.636726806607342e-92,Sfrp1,3.187825,4.8843289574608744e-18,Plxnd1,1.8776654,1.653222138449477e-189,Fabp5,2.1109617,0.0,Ecscr,3.2580771,3.0665112397633e-121,Egfl7,3.042558,1.0142701109372675e-57,Map4k2,3.9890385,8.312594339304642e-134,App,2.7035024,0.0,Hspd1,1.7063972,2.8294061015619276e-287,Pcbd1,3.3174057,0.0,Pls1,5.4608283,0.0,Atpif1,1.378403,9.515631054572343e-161,Ndrg1,3.5381298,1.4524235895954818e-95,Plac8,3.1772888,2.621809330130815e-49,Srrm4,7.76544,0.0,Col3a1,4.420442,7.36750013734282e-106,Psip1,1.940661,1.0376957508095666e-248,Sulf1,3.05215,3.7740411688827966e-182,Dmkn,9.171883,2.173298521260782e-181,Cx3cr1,6.817073,0.0,Cst3,2.7262962,9.892580812304712e-182,Mllt3,2.4590833,1.734341710187611e-10
Hsp90ab1,0.085174136,2.107066815261648e-31,Maged1,1.715602,0.0,Gm266,3.0897305,1.9240579080869985e-271,Myl6,1.7229971,2.4979388539284097e-73,Vim,2.182987,0.0,Lpl,4.6617117,6.205800977670558e-66,Prdx2,1.1118513,1.3783858434584287e-150,Tpm2,2.0253112,6.034359029001669e-92,Cald1,2.235934,5.385381240211296e-18,Lmo2,2.0551574,3.3896317110136677e-183,Sox18,2.4448056,0.0,Nrp2,3.0410843,1.1418567630767196e-119,Esam,3.0875368,4.0806457512536576e-57,Mgat4b,2.4528122,1.4775922954547266e-133,Srgn,4.6338515,0.0,Rps4x,0.6970496,7.777276816001493e-287,Mamdc4,3.957447,0.0,Acaa2,3.9456086,0.0,Cox8a,1.1401367,3.2287493364959676e-150,Atp1b1,3.6955073,4.994836293065665e-94,Myl7,6.3276625,3.1995342483585577e-49,Gng2,2.9193108,0.0,Fabp7,5.10334,1.7550761135663885e-105,Ttyh1,5.869227,1.6115039915450983e-247,Il18,3.7663794,8.716973356966134e-180,Cldn15,5.5721617,7.209179371209084e-181,Pfn1,1.2092113,0.0,Cebpb,3.839521,1.3086407252171216e-179,Fam174b,2.6243305,8.681366586220248e-10
Rpl19,0.025607305,2.233021234134008e-31,Meis1,2.218995,0.0,Kcnk3,3.9905655,4.684987366044175e-269,Lmna,3.277174,5.323797128724646e-73,Nfib,2.3525367,0.0,Thbd,3.810071,8.034471019645926e-66,Kcnq1ot1,1.6294307,1.183729036830871e-149,Nfia,2.0554402,8.044098939050972e-92,Tgfb1i1,2.8269484,9.474551334427333e-18,Ptp4a3,2.0178185,2.08141529900706e-180,Tmem88,2.4746919,0.0,Kdr,3.1891747,4.033027262907666e-117,Col5a2,2.913836,3.22108123555734e-55,Fxyd6,2.8429036,3.205764841379502e-133,Anxa3,3.270272,0.0,Rps6,0.8171289,1.723931386949412e-283,Txn1,1.7684443,0.0,Slc7a9,5.682016,0.0,Cndp2,3.9380887,7.106891957452312e-150,Gale,4.4933596,5.741787026348527e-94,Scg5,4.7758784,4.54510868612665e-49,Fgf13,5.8471727,0.0,Cnn3,2.707169,4.4278825034302366e-105,Qk,1.9134136,3.106794118589758e-243,Siva1,1.7468646,6.360003080728949e-178,Slc9a3r1,3.1376526,2.1529851779642213e-180,Gpx1,2.0998936,0.0,Plbd1,5.959721,4.182975253677964e-179,Grap2,7.687477,9.009814735946681e-10
mt-Co1,0.10322079,2.7520240577854376e-30,Tenm4,3.3907738,0.0,Itm2a,1.8306706,3.058245364872601e-267,Bcam,4.21679,7.828978090686237e-73,S100a11,2.2177393,0.0,Pik3r1,3.119733,1.4824425919705875e-65,Zcchc11,1.7239054,1.1377961031523312e-148,Itm2a,2.0410724,7.156449071374482e-91,Zbtb20,3.0014205,1.1078967956188287e-17,Emcn,1.6489667,1.0031032058187719e-179,Aplp2,1.8593398,1.286832488403105e-301,Tek,3.8143287,2.1435684379620104e-116,Cd34,3.0921721,3.330827819039761e-55,Cpne2,4.3941236,8.511509186951608e-133,Lama4,3.6716084,0.0,Rab25,2.8608944,1.4577055266048552e-279,Smim24,3.658962,0.0,Ass1,5.003186,0.0,Acadl,3.0985746,7.747203900025625e-149,Muc13,3.97537,3.3428047038240806e-92,Smim6,4.9884377,1.0145058618508094e-48,Cd24a,2.6301618,0.0,Foxd3,6.105591,7.718421227045634e-105,Cadm1,2.7285266,6.287974140477241e-238,Hmgn1,1.3351272,3.2848590642330134e-176,Podxl,3.4642391,2.869961862901334e-180,Sirpa,4.4753146,0.0,Rac2,5.047975,8.712036897643233e-179,Fam104a,0.96413124,9.168657686902264e-09
Rps19,0.07864213,1.9052235137919695e-29,Cdh11,2.3893998,0.0,Rnd3,2.6700156,4.397505080110572e-267,Fhl1,4.769324,2.41220201892588e-72,Slit2,3.5874257,0.0,Gipr,8.426511,3.3701518205734683e-65,Myh10,1.7724656,2.5418007172708627e-148,Pcolce,2.6309834,7.842528238115807e-91,Rarres2,3.916362,1.935533930239435e-17,Cd34,1.5556662,1.4117790447708798e-175,Arhgap18,2.5788224,2.8798826433155245e-301,Megf6,4.4410105,1.1051498245632602e-115,Pcsk5,4.1430674,3.727255067265933e-55,Tgfbr2,2.5766284,1.3501694776658676e-131,Plk2,3.841914,0.0,Sox9,4.598407,6.216414030177044e-279,Cldn3,4.3883553,0.0,Vil1,4.8311048,0.0,Pls1,4.6945114,1.323614742610311e-147,Tm9sf3,2.506,7.665233405413265e-91,Pcbd1,2.9486783,6.520048852387111e-48,Csnk1e,2.5282726,0.0,Ncam1,3.464436,5.663942505060991e-104,Fam184b,5.3796973,3.380918568606931e-232,Maged1,1.6669425,2.8481981275310736e-174,Meg3,3.5848856,2.694960258919398e-177,Selenop,2.822966,0.0,Rgs10,3.9967408,3.598905754666171e-177,Slc20a1,2.2241158,1.0835706366230751e-08
Rplp1,-0.16151346,6.696161162830351e-29,Ncam1,2.436644,0.0,Grb10,1.4839705,6.4751301248847066e-260,Dstn,2.5484517,3.5916668354189244e-72,Islr,3.4072974,0.0,Tpm1,2.153523,5.794360450666157e-64,Tsc22d1,1.4290739,6.462289401648897e-147,Ncam1,2.2182896,1.0373158929449521e-89,Col4a1,2.3585052,2.4836567768536537e-17,Tuba1a,0.9418331,2.201625420348467e-172,Tpm4,1.6362933,1.3424351823191953e-298,Thsd7a,5.164534,4.345548064272953e-115,Pdlim1,3.3618417,1.1541105360409035e-54,Tpm4,1.7449676,1.710181279340168e-131,Ctnnb1,1.9367564,0.0,Dctpp1,1.9527014,1.138119881759529e-278,Rab25,3.8605525,0.0,Slc9a3r1,4.1241937,0.0,Ezr,3.1474717,1.7289472738715402e-143,H2-K1,3.2360432,1.4135976943128172e-90,Ubl3,2.6176376,6.737623937965954e-48,Gm1673,2.664739,0.0,Lama4,3.548472,1.236926272010364e-103,Hmgb3,1.822282,1.593363766019318e-230,Zcchc3,2.346216,8.396213097965802e-174,Pcolce,3.8230731,3.0290075786783627e-176,Ptprc,5.9117994,0.0,Cxcl16,6.0163703,1.1460648970346435e-174,Ypel3,1.1502234,2.3481402299580273e-08
Lgals1,0.723917,6.889939373445663e-29,Rbms3,2.3889787,0.0,Tceal9,1.2329684,8.295459444248289e-259,Rgs7bp,5.2731104,8.741530217327229e-72,Igfbp7,2.734818,0.0,mt-Cytb,0.9085939,1.7402866778488307e-63,Cbx1,1.417666,3.437232580261796e-146,Col5a1,2.127371,2.701345853083743e-89,Fermt2,2.3761194,3.6677577074339787e-17,Rps17,0.21939442,6.476808287546067e-172,Tcf4,1.9563955,2.86999028044174e-297,Ppic,2.3811586,5.298536120615818e-115,Serpinf1,3.9439068,1.6189791496682874e-54,Nectin2,2.2921686,1.7785275589105819e-130,Mcf2l,5.55897,0.0,Lgals4,2.8941896,1.0530262854153805e-274,Elf3,3.9544013,0.0,Folr1,5.3761234,0.0,Sult1d1,4.3833456,7.189956041277224e-141,Cdh1,4.0784693,6.5220333157746374e-90,Cdhr5,3.716454,9.292632048621063e-48,Gpr22,8.876061,0.0,Entpd2,5.689353,1.546219379297117e-103,Pebp1,1.3147627,1.7979709856969663e-229,Serpinh1,1.6958243,1.4872816756693078e-168,Timp2,3.0178514,1.8003994554439228e-175,Clec4a2,6.514158,0.0,Lair1,6.6907463,1.2064049866988807e-174,Tspan33,4.1307673,2.4546651362007468e-08
Rpl12,-0.0011871619,8.550108334190257e-28,Marcks,1.489168,0.0,6330403K07Rik,2.0552542,2.6234356470711134e-258,Zfhx3,3.2156868,7.762853338822521e-71,Lgals1,2.6299605,0.0,Rgs4,7.1419973,6.708242871389887e-62,Tpm2,1.8630276,1.3828615354988002e-145,Idh2,1.4760695,3.432030970925825e-89,Ednrb,3.4464343,4.287864530391501e-17,Cldn5,2.0039933,4.720333163527316e-163,Fscn1,1.9958197,3.416382091344822e-297,Prcp,3.3070166,1.3886055717672147e-114,Slc9a3r2,3.010183,1.2611631572625273e-53,Marcks,1.626927,7.086345142869612e-130,Grrp1,5.2502775,0.0,Ociad2,2.5781884,4.490859671565387e-272,2200002D01Rik,3.6857512,0.0,Ms4a10,6.3099933,0.0,Cox4i1,0.9711139,6.519212367972895e-135,Rnase4,3.321784,6.530814039725882e-90,Btg2,3.064791,2.350785505858722e-47,Ina,7.984314,0.0,Gfra2,5.8633847,5.96090573386919e-103,Tspan3,1.6299046,1.1656307289668887e-227,Wls,2.2590914,4.9424021356845265e-167,Ptgis,4.5429163,1.8685289635709877e-175,Serinc3,2.5458786,0.0,Laptm5,4.991992,4.324968994578224e-173,Cited4,6.387951,8.677327540474237e-08
Rpl15,0.006577583,5.950793900365281e-27,Fstl1,1.8347552,0.0,Myh10,1.7885495,2.3618691234232132e-256,Nr2f2,3.0704565,8.674339590846403e-71,Ogn,4.118656,0.0,Mprip,2.4997864,7.398900571152582e-62,Ccnd2,1.7314389,1.4094456420366875e-145,Meis1,2.0697298,9.880224811437206e-89,Emilin1,2.7851424,5.267517240890415e-17,Pkm,0.55338275,8.313440455087115e-151,Fabp4,2.833858,2.4066445565488888e-294,Ctsh,3.823806,2.625874134120859e-114,Utrn,3.190082,2.1400871306150083e-52,S100a10,1.8972784,8.90932953426826e-130,Thbd,5.0292077,0.0,Cldn4,4.5999866,5.399074350791202e-272,Cdx2,3.8446429,0.0,Lct,8.03124,0.0,2200002D01Rik,3.9098492,6.193831607261549e-134,Pglyrp1,5.019917,7.108879959047485e-90,Pcsk1n,4.5707784,1.9650369415521482e-46,Rgmb,3.8039207,0.0,Deptor,6.431848,7.85862391561304e-102,Cdh6,4.4421716,1.9826237520350623e-224,Fras1,3.3394992,1.882095529453859e-165,Gas1,3.1187885,5.707198725869692e-175,Actr3,1.8906628,0.0,Fcgr1,5.551439,6.841059892433441e-173,Tal1,3.4510183,1.8190271806339575e-07
Rpl14,-0.035888825,2.7571716048962213e-25,Rcn1,2.0000653,0.0,Chd3,1.7016637,2.5626031285830847e-250,Sdc2,3.9974854,1.1349546103946904e-70,Lmna,2.9107268,0.0,Lama4,2.8993397,1.8861854862321314e-61,Malat1,1.7836348,1.2215607228808698e-141,Mmp2,2.546669,5.16310596064071e-88,Foxq1,6.1960044,6.358982240337983e-17,Vamp5,1.9047133,1.6610863115978471e-149,Fli1,2.4852197,4.159122406205551e-294,Cd59a,4.2281013,1.0298732367401249e-113,Mast4,3.38657,5.178250956455147e-52,Gngt2,2.4230075,2.2798447077418267e-128,Col13a1,5.1063223,0.0,Shh,5.9491215,1.8112002540302772e-271,Rbbp7,2.322937,0.0,Npl,5.363536,0.0,Cox6c,1.180343,2.6450876302487985e-129,Lgals2,4.6411037,2.5270902259827232e-89,Ffar2,7.646678,3.7738556293387885e-46,Soga3,6.3686347,0.0,Lamc1,3.288979,2.348529903564352e-101,Nnat,2.0619533,5.060175375752163e-221,Fis1,1.4223762,4.266210378039572e-165,Anxa2,2.509627,3.672256700213215e-173,Fcgr1,6.154758,0.0,Rgs1,8.187966,1.0007920606777253e-171,Ncoa4,1.3530463,3.0046602190031366e-07
